order_id,order_date,customer_id,customer_name,customer_region,product_category,product_name,quantity,unit_price,discount,shipping_cost,payment_method
1020,2024-02-22,C116,Adaeze Okonkwo,Enugu,Electronics,Laptop Bag,1,11000,0.05,500,Card
1021,2024-02-25,C104,Emeka Eze,Lagos,Beauty,Men's Grooming Kit,1,6800,0.10,300,Card
1022,2024-02-27,C117,Suleiman Musa,Abuja,Clothing,Native Senator Wear,1,22000,0.05,350,Transfer
1023,2024-03-02,C108,Tunde Adewale,Lagos,Electronics,Bluetooth Speaker,1,18500,0.05,500,Card
1024,2024-03-05,C118,Obiageli Nwosu,Lagos,Home & Kitchen,Kitchen Shelf Organizer,2,5500,0.00,400,Card
1025,2024-03-08,C119,Rashida Lawal,Ilorin,Clothing,Sports Sneakers,1,14000,0.10,350,Transfer
1026,2024-03-11,C120,Chidera Obi,Asaba,Books,Business Strategy,2,6100,0.05,350,Card
1027,2024-03-14,C101,Amara Okafor,Lagos,Electronics,Power Bank 20000mAh,1,16500,0.05,500,Card
1028,2024-03-17,C110,Chisom Okeke,Onitsha,Home & Kitchen,Dinner Set (6-piece),1,28000,0.10,600,Cash
1029,2024-03-20,C121,Nkechi Eze,Aba,Beauty,Hair Growth Oil,3,3500,0.15,300,Card
1030,2024-03-23,C113,Olu Bankole,Lagos,Clothing,Linen Trousers,2,9500,0.00,350,Card
1031,2024-03-26,C106,Uche Obi,Enugu,Electronics,HDMI Cable,2,2800,0.00,400,Transfer
1032,2024-03-29,C122,Funmilayo Adeyemi,Ibadan,Books,Novel - The Famished Road,1,4200,0.00,350,Card
1033,2024-04-01,C115,Yusuf Garba,Sokoto,Home & Kitchen,Wall Clock,1,7500,0.05,400,Transfer
1034,2024-04-04,C109,Chisom Okeke,Onitsha,Electronics,Earphone (Wired),2,1900,0.00,300,Cash
1035,2024-04-07,C117,Suleiman Musa,Abuja,Clothing,Kaftan,1,17500,0.10,350,Transfer
1036,2024-04-10,C123,Grace Nwobi,Umuahia,Beauty,Foundation (Medium Tone),2,4500,0.05,300,Card
1037,2024-04-13,C124,Emeka Udo,Calabar,Home & Kitchen,Air Fryer,1,42000,0.05,600,Card
1038,2024-04-16,C112,Abubakar Sani,Kano,Books,Finance for Non-Finance,1,6800,0.00,350,Card
1039,2024-04-19,C125,Josephine Okafor,Lagos,Electronics,Webcam HD,1,14500,0.05,500,Card
1040,2024-04-22,C119,Rashida Lawal,Ilorin,Clothing,Flare Skirt,2,7200,0.10,350,Transfer
1041,2024-04-25,C126,Bola Adewale,Akure,Beauty,Sunscreen SPF50,3,2800,0.15,300,Card
1042,2024-04-28,C111,Blessing Agu,Owerri,Home & Kitchen,Cutlery Set,1,12000,0.00,400,Card
1043,2024-05-01,C101,Amara Okafor,Lagos,Electronics,Smart Watch Band,2,3200,0.00,300,Card
1044,2024-05-04,C127,Hassan Bello,Maiduguri,Books,Islamic Studies Guide,2,4100,0.00,350,Transfer
1045,2024-05-07,C120,Chidera Obi,Asaba,Clothing,Joggers,3,5800,0.05,350,Card
1046,2024-05-10,C128,Adaora Chukwu,Enugu,Home & Kitchen,Mop & Bucket Set,1,8500,0.00,400,Card
1047,2024-05-13,C113,Olu Bankole,Lagos,Electronics,Ring Light,1,22000,0.10,500,Card
1048,2024-05-16,C116,Adaeze Okonkwo,Enugu,Beauty,Perfume (50ml),1,8900,0.05,300,Card
1049,2024-05-19,C129,Taiwo Oluwole,Ibadan,Clothing,Agbada Set,1,35000,0.05,350,Transfer
1050,2024-05-22,C130,Miriam Audu,Jos,Home & Kitchen,Food Flask,2,4800,0.00,300,Card
1051,2024-05-25,C122,Funmilayo Adeyemi,Ibadan,Books,Self Help - Atomic Habits,1,5900,0.00,350,Card
1052,2024-05-28,C104,Emeka Eze,Lagos,Electronics,Portable Fan,1,9500,0.05,400,Card
1053,2024-05-31,C118,Obiageli Nwosu,Lagos,Clothing,Chiffon Blouse,2,6200,0.10,350,Card
1054,2024-06-03,C121,Nkechi Eze,Aba,Beauty,Exfoliating Scrub,4,2200,0.15,300,Card
1055,2024-06-06,C131,Sunday Ojo,Abeokuta,Home & Kitchen,Pressure Cooker,1,19500,0.05,500,Transfer
1056,2024-06-09,C125,Josephine Okafor,Lagos,Electronics,Portable Projector,1,85000,0.10,600,Card
1057,2024-06-12,C132,Patricia Ikenna,Uyo,Clothing,Wrap Dress,1,11500,0.00,350,Card
1058,2024-06-15,C107,Halima Yusuf,Kano,Books,Cookbook - Naija Kitchen,1,5500,0.00,350,Transfer
1059,2024-06-18,C126,Bola Adewale,Akure,Home & Kitchen,Shower Curtain,2,3800,0.10,300,Card
1060,2024-06-21,C108,Tunde Adewale,Lagos,Beauty,Beard Balm,2,3100,0.05,300,Card
1061,2024-06-24,C133,Emeka Onwuka,Onitsha,Electronics,Keyboard (Mechanical),1,28000,0.05,500,Card
1062,2024-06-27,C134,Zainab Musa,Abuja,Clothing,Office Blazer,1,21000,0.10,350,Transfer
1063,2024-06-30,C130,Miriam Audu,Jos,Books,Geography Textbook,2,4800,0.00,350,Card
1064,2024-07-03,C135,Chukwuemeka Ike,Awka,Home & Kitchen,Rice Cooker,1,24500,0.05,500,Card
1065,2024-07-06,C124,Emeka Udo,Calabar,Electronics,Dash Cam,1,31000,0.05,500,Card
1066,2024-07-09,C129,Taiwo Oluwole,Ibadan,Beauty,Body Lotion Set,3,4500,0.10,300,Transfer
1067,2024-07-12,C102,Chidi Nwosu,Abuja,Clothing,Dinner Gown,1,28000,0.05,350,Card
1068,2024-07-15,C136,Obinna Okwu,Owerri,Home & Kitchen,Storage Boxes (3-pack),2,6200,0.00,400,Card
1069,2024-07-18,C128,Adaora Chukwu,Enugu,Books,Children's Story Books,4,2800,0.00,350,Card
1070,2024-07-21,C113,Olu Bankole,Lagos,Electronics,Selfie Stick,1,4500,0.00,300,Card
1071,2024-07-24,C131,Sunday Ojo,Abeokuta,Clothing,Denim Jacket,1,16500,0.10,350,Transfer
1072,2024-07-27,C127,Hassan Bello,Maiduguri,Beauty,Whitening Soap (3-pack),5,1500,0.15,300,Cash
1073,2024-07-30,C137,Chiamaka Nna,Aba,Home & Kitchen,Vacuum Cleaner,1,38000,0.05,600,Card
1074,2024-08-02,C138,Damilola Fasanya,Lagos,Electronics,Smart TV 32inch,1,145000,0.10,1000,Card
1075,2024-08-05,C132,Patricia Ikenna,Uyo,Clothing,Palazzo Pants,2,8200,0.05,350,Card
1076,2024-08-08,C123,Grace Nwobi,Umuahia,Books,Medical Dictionary,1,12500,0.00,350,Card
1077,2024-08-11,C135,Chukwuemeka Ike,Awka,Beauty,Anti-aging Serum,1,15000,0.10,300,Card
1078,2024-08-14,C139,Modupe Akintola,Lagos,Home & Kitchen,Dish Rack,1,5200,0.00,300,Card
1079,2024-08-17,C133,Emeka Onwuka,Onitsha,Clothing,Gym Wear Set,1,13500,0.05,350,Card
1080,2024-08-20,C136,Obinna Okwu,Owerri,Electronics,Solar Power Bank,1,28500,0.05,500,Card
1081,2024-08-23,C140,Yetunde Afolabi,Ibadan,Books,Law Made Easy,1,9800,0.00,350,Transfer
1082,2024-08-26,C101,Amara Okafor,Lagos,Home & Kitchen,Laundry Basket,2,4100,0.10,300,Card
1083,2024-08-29,C141,Dike Okafor,Umuahia,Beauty,Cologne Spray,2,5600,0.05,300,Card
1084,2024-09-01,C138,Damilola Fasanya,Lagos,Electronics,Laptop Stand,1,9500,0.00,400,Card
1085,2024-09-04,C134,Zainab Musa,Abuja,Clothing,Hijab Collection (3-pack),2,7800,0.05,350,Transfer
1086,2024-09-07,C137,Chiamaka Nna,Aba,Home & Kitchen,Wooden Serving Tray,3,3200,0.10,300,Card
1087,2024-09-10,C142,Babatunde Ojo,Lagos,Books,Investment Guide Nigeria,1,8200,0.00,350,Card
1088,2024-09-13,C139,Modupe Akintola,Lagos,Electronics,Noise Cancelling Headphones,1,62000,0.10,500,Card
1089,2024-09-16,C143,Amina Garba,Katsina,Beauty,Henna Kit,4,1800,0.15,300,Cash
1090,2024-09-19,C140,Yetunde Afolabi,Ibadan,Clothing,Corset Top,1,9200,0.00,350,Card
1091,2024-09-22,C141,Dike Okafor,Umuahia,Home & Kitchen,Bedside Lamp,2,6800,0.05,300,Card
1092,2024-09-25,C144,Ngozi Obi,Lagos,Electronics,Tablet 10inch,1,78000,0.10,600,Card
1093,2024-09-28,C142,Babatunde Ojo,Lagos,Clothing,Corporate Trousers,2,11500,0.05,350,Card
1094,2024-10-01,C145,Christy Nwogu,Port Harcourt,Beauty,Eyeshadow Palette,2,5500,0.10,300,Card
1095,2024-10-04,C143,Amina Garba,Katsina,Home & Kitchen,Mortar & Pestle,1,4500,0.00,300,Cash
1096,2024-10-07,C104,Emeka Eze,Lagos,Books,Python Data Analysis,1,11200,0.00,350,Card
1097,2024-10-10,C146,Chinedu Ofor,Enugu,Electronics,Security Camera,2,35000,0.05,600,Card
1098,2024-10-13,C144,Ngozi Obi,Lagos,Clothing,Boubou (Ladies),1,19500,0.10,350,Card
1099,2024-10-16,C147,Fatimah Usman,Abuja,Home & Kitchen,Baking Tray Set,2,7200,0.05,300,Transfer
1100,2024-10-19,C145,Christy Nwogu,Port Harcourt,Beauty,Nail Art Kit,3,2900,0.15,300,Card
1101,2024-10-22,C148,Oghenekaro Efemwonki,Warri,Electronics,Extension Board (6-outlet),2,5500,0.00,400,Card
1102,2024-10-25,C146,Chinedu Ofor,Enugu,Clothing,Shorts (Pack of 3),3,4200,0.05,350,Card
1103,2024-10-28,C149,Rosemary Chukwu,Anambra,Books,Entrepreneurship 101,1,7500,0.00,350,Card
1104,2024-10-31,C147,Fatimah Usman,Abuja,Home & Kitchen,Toaster,1,13500,0.05,400,Transfer
1105,2024-11-03,C138,Damilola Fasanya,Lagos,Electronics,Gaming Mouse,1,18500,0.05,400,Card
1106,2024-11-06,C150,Emmanuel Orji,Lagos,Clothing,Polo Ralph Shirt (Replica),2,8900,0.10,350,Card
1107,2024-11-09,C148,Oghenekaro Efemwonki,Warri,Beauty,Body Spray (Men),3,3800,0.05,300,Card
1108,2024-11-12,C149,Rosemary Chukwu,Anambra,Home & Kitchen,Iron & Ironing Board,1,16000,0.05,500,Card
1109,2024-11-15,C142,Babatunde Ojo,Lagos,Books,Marketing Essentials,1,6900,0.00,350,Card
1110,2024-11-18,C150,Emmanuel Orji,Lagos,Electronics,Mini Fridge,1,68000,0.10,700,Card
1111,2024-11-21,C144,Ngozi Obi,Lagos,Clothing,Leather Handbag,1,32000,0.05,350,Card
1112,2024-11-24,C145,Christy Nwogu,Port Harcourt,Home & Kitchen,Hand Mixer,1,17500,0.05,400,Card
1113,2024-11-27,C151,Adamu Shehu,Sokoto,Beauty,Charcoal Face Mask,5,1600,0.15,300,Cash
1114,2024-11-30,C152,Uzoamaka Ihejirika,Owerri,Electronics,Smart Bulb Set,2,12000,0.05,300,Card
1115,2024-12-03,C146,Chinedu Ofor,Enugu,Clothing,Christmas Dress,2,14500,0.10,350,Card
1116,2024-12-06,C149,Rosemary Chukwu,Anambra,Books,Children's Bible,2,5200,0.00,350,Card
1117,2024-12-09,C151,Adamu Shehu,Sokoto,Home & Kitchen,Water Dispenser,1,48000,0.05,700,Transfer
1118,2024-12-12,C138,Damilola Fasanya,Lagos,Electronics,Drone (Mini),1,125000,0.10,800,Card
1119,2024-12-15,C152,Uzoamaka Ihejirika,Owerri,Clothing,New Year Party Dress,1,24000,0.05,350,Card
1120,2024-12-18,C150,Emmanuel Orji,Lagos,Beauty,Gift Set (Unisex),2,9500,0.10,300,Card
1121,2024-12-21,C101,Amara Okafor,Lagos,Home & Kitchen,Christmas Tree Decor,3,5500,0.05,400,Card
1122,2024-12-24,C113,Olu Bankole,Lagos,Electronics,55inch Smart TV,1,285000,0.10,1500,Card
1123,2024-12-26,C144,Ngozi Obi,Lagos,Clothing,Sequin Party Dress,1,29500,0.05,350,Card
1124,2024-12-28,C148,Oghenekaro Efemwonki,Warri,Books,Year Planner 2025,3,3200,0.00,300,Card
1125,2024-12-30,C139,Modupe Akintola,Lagos,Beauty,New Year Skincare Bundle,1,18500,0.10,300,Card
